Autor del libro|título del libro|link para descarga
|Tartarín de Tarascón|https://drive.google.com/file/d/1UxReqcl7MXZ2Z5e67xhKhGWYze4KLqio/view?usp=drive_link
|Proceso por asesinato|https://drive.google.com/file/d/1ygo_eaqz-_2O_dZdg02J1C_jGMG8NiaA/view?usp=drive_link
|Noches blancas|https://drive.google.com/file/d/1A5Tb38dOQAVDkhqlo5Ub5JQXprvyoD1y/view?usp=drive_link
|La reliquia|https://drive.google.com/file/d/1ioNBeB2R1TbwLPS5A4nbXqpFvCV3snS-/view?usp=drive_link
|El anillo|https://drive.google.com/file/d/1MC9Cs2-wsFUc5ssfK3SL4NeQr9ZM8-9b/view?usp=drive_link
|Prometeo encadenado|https://drive.google.com/file/d/1OTTkrKbbZ1SfZIRV4FdtSKpBFpoaiZP6/view?usp=drive_link
|Las troyanas|https://drive.google.com/file/d/1y-uzmqJo_PEE9HNO2wcnq2NFVWsXNc7F/view?usp=drive_link
|El cuento de la serpiente verde|https://drive.google.com/file/d/16h7YdjOLDLXxyxqVjXBR4VpfuvI7xck5/view?usp=drive_link
|Diario de un loco|https://drive.google.com/file/d/1h0ivdIKBpy1zunc9MuBLGnXEU4zdmS5v/view?usp=drive_link
|El capote|https://drive.google.com/file/d/1haM1IRl5LT5EBS6jNAWx4pqOznvM9_PO/view?usp=drive_link
|El retrato|https://drive.google.com/file/d/1cAaSEDVWPJyrXZOz4OdmukRROZmqwcv6/view?usp=drive_link
|La perspectiva Nevsky|https://drive.google.com/file/d/1RFrfGaBZyt34CRZizj3gKRs0VFxlvFWc/view?usp=drive_link
|El encuentro inesperado.|https://drive.google.com/file/d/1_O-QsUNY-KbpVPjJkJFXe6Is5yrh9c97/view?usp=drive_link
|Demian|https://drive.google.com/file/d/1qW4gw2xLFKIvsLKY7viNdDh-EiMDN896/view?usp=drive_link
|El lobo estepario|https://drive.google.com/file/d/1je7N9M5JkI2meFgJb4Id4nnx3DW8UOJb/view?usp=drive_link
|Siddhartha|https://drive.google.com/file/d/1E7Uq328c85NNEw9AdfxIwLSi-JEcey94/view?usp=drive_link
|Cuentos de miedo|https://drive.google.com/file/d/1iR1xIrnYTJPzmk33Tb2jOfbQO6iuCFTZ/view?usp=drive_link
|La Ilíada|https://drive.google.com/file/d/1aS1dF6HyZvFfhVvV6dCVHCkoIXpyPZHH/view?usp=drive_link
|La Odisea|https://drive.google.com/file/d/12cHohgvgu0KBY00K6UvRhvK6K1SIHde7/view?usp=drive_link
|Bug Jargal|https://drive.google.com/file/d/10rmaLi6DDuj1RWl5Jy9GV5U8B2Ws-ZCK/view?usp=drive_link
|Cuentos de la Alhambra. Dos leyendas|https://drive.google.com/file/d/1oKLQ6IIf2Qve3ypZQG2ia5QKQnRUxdhU/view?usp=drive_link
|La vuelta de tuerca|https://drive.google.com/file/d/1utml9-JXxAyy0VlndkzovtBm7gtRMtQw/view?usp=drive_link
|La rosa amarilla|https://drive.google.com/file/d/15D179AgaVi2DGVgGcxv76qrybjHH22c1/view?usp=drive_link
|Una cruza|https://drive.google.com/file/d/1Yi3YFgPeH-UYo6NYz7ovx54lTxXQyAhZ/view?usp=drive_link
|El carrito fantasma|https://drive.google.com/file/d/1MRjEZVQfsVxgEr_uPxdh1PzEmWVW1yfD/view?usp=drive_link
|Si...|https://drive.google.com/file/d/19iBuH9pStkWMBhqD3hGXj8Jq6ZB_KSoT/view?usp=drive_link
|Tao Te King|https://drive.google.com/file/d/1Bl1Xi4IGGJ1Tzz8cxF_3sKG1Yl6eiYG4/view?usp=drive_link
|Té verde|https://drive.google.com/file/d/1fWYaABgiLgjuMzN30eL_PTxJxK_eElDl/view?usp=drive_link
|Katha Upanishad|https://drive.google.com/file/d/1GiRIPSW2v5qdhF1XLphiUgzRBKI_NM4b/view?usp=drive_link
|La leyenda de Gilgamesh|https://drive.google.com/file/d/1oJO4zwIGG2rty39M5e33EPJtHZUt0mHn/view?usp=drive_link
|El color surgido del espacio y seis cuentos cortos|https://drive.google.com/file/d/15ZSvrf04Gi4RH717WR7Or_GSY2ydEJlh/view?usp=drive_link
|Anécdota pecuniaria|https://drive.google.com/file/d/16ivvMnR6_nm3BXuzYfHim7EiEpibtLdM/view?usp=drive_link
|Cláusula testamentaria|https://drive.google.com/file/d/14Au0x9St2_2ZO9qmQ7ccNkWAwIVoIUQY/view?usp=drive_link
|El alienista|https://drive.google.com/file/d/1OMLqnPn-TGdhIQNOhInNfyP3M-cm0mAw/view?usp=drive_link
|El secreto de Augusta|https://drive.google.com/file/d/16stxdsVmVxJcPuYzvaWBX4jsTuAWbzcg/view?usp=drive_link
|La causa secreta|https://drive.google.com/file/d/1N52mMWEAJG_WH3HtHxU4Kdqee-OPdtZW/view?usp=drive_link
|Un hombre célebre|https://drive.google.com/file/d/1CTpFRuIIoOnbNnpZqH2XCHAsYFtxzv64/view?usp=drive_link
|La siesta del fauno, otros poemas y sonetos|https://drive.google.com/file/d/11m3e206YK6ksZqEvQd3SqyECJQUIKLKg/view?usp=drive_link
|Meditaciones|https://drive.google.com/file/d/1ORHdl000WO3Hf2QYd4Tw37MF1KjfX6I1/view?usp=drive_link
|La mujer loba|https://drive.google.com/file/d/14wcnNHU3M2lfTB9eBjeP36YhIR6mLclw/view?usp=drive_link
|¿Loco?|https://drive.google.com/file/d/1oQVre_uyD8I0peJzMa2PvLennfZionqA/view?usp=drive_link
|¿Quién sabe?|https://drive.google.com/file/d/1C3nKwdKKM2euiQNigKHby6lFyG_XP5rE/view?usp=drive_link
|Aparición|https://drive.google.com/file/d/1Q0rOR0lN1fXS9PLe8Hcd3LDSklHAOfhK/view?usp=drive_link
|Carta que se encontró a un ahogado|https://drive.google.com/file/d/1oeP4t2QJtq5578S5pZexWZ9r_o0V5o4e/view?usp=drive_link
|Cuento de Navidad|https://drive.google.com/file/d/1n3GDCR4aADWMiPu7X29mO9G3uqEGm9la/view?usp=drive_link
|El Horla|https://drive.google.com/file/d/15fhlLyCPtUgvB4CGTcjHU_IrJ1kWohg8/view?usp=drive_link
|El lobo|https://drive.google.com/file/d/1y8Qj8E0cU-FIGFMKMrN1Ov3IqXo6vOrY/view?usp=drive_link
|El miedo|https://drive.google.com/file/d/1WOLr5ddjN3RFZql9_8GWUq9wr1jvkKB8/view?usp=drive_link
|Junto a un muerto|https://drive.google.com/file/d/18Mwulap6-zKm4Kml8f7mHIBj-C8aVOLr/view?usp=drive_link
|La cabellera|https://drive.google.com/file/d/1D8CGYAX_vqlMPqa1jE2-PWvTZ7mjM2ro/view?usp=drive_link
|La mano disecada|https://drive.google.com/file/d/1RNZ3EXhOJLUMriUFtviK7fZM6eoyVFaw/view?usp=drive_link
|Los sepulcrales|https://drive.google.com/file/d/1Jc0uCoViElZ2TdQU6A6-PQzhjVlXKxHN/view?usp=drive_link
|Suicidas|https://drive.google.com/file/d/1yI0SlES2RIT8ON_b058K45yQYS6knQXY/view?usp=drive_link
|Un loco|https://drive.google.com/file/d/1Ph5dFZc9w42KUhDfvFbqLXtk8o2duj18/view?usp=drive_link
|La mano encantada|https://drive.google.com/file/d/1p3mJHbQ-ULWq1ofRNP_nhCPYbZLRZZ-Y/view?usp=drive_link
|El anticristo|https://drive.google.com/file/d/1MDm5Mi-hcwyT8-JNvVLFZYAVg8tUw3Iv/view?usp=drive_link
|Apología de Sócrates|https://drive.google.com/file/d/1TFUZENea99asQgIvZNCsDysitUXyvLr_/view?usp=drive_link
|El banquete|https://drive.google.com/file/d/1boyGVEoawEliNQ9gFHhdsJBGcPVi7wL7/view?usp=drive_link
