Autor del libro|título del libro|link para descarga
Ilya Varshavsky|El Conflicto|https://drive.google.com/file/d/0B_yJXv2pEPBwVzhBYWhpUFZWT3M/view?usp=drivesdk&resourcekey=0-ikdzWn8yk9Cti57zO56IHA
Luisa M. Alcott|Un Hueco En La Pared|https://drive.google.com/file/d/0B_yJXv2pEPBwRjYwdmpTeUJFWW8/view?usp=drivesdk&resourcekey=0-pyIqW70-PxxW0AFSjyRYXg
Luisa M. Alcott|Otra mujercita|https://drive.google.com/file/d/0B_yJXv2pEPBwb294eTBvVngzS1U/view?usp=drivesdk&resourcekey=0-QgGZf50LTRO2B4KiLAZpHA
Luisa M. Alcott|Ocho Primos|https://drive.google.com/file/d/0B_yJXv2pEPBwdFhrVUtUZmVrdzg/view?usp=drivesdk&resourcekey=0-UQx5lEGHnKr1wxfl6gu6xg
Luisa M. Alcott|Musica Y Macarrones|https://drive.google.com/file/d/0B_yJXv2pEPBwZTdWUmZmQVNENU0/view?usp=drivesdk&resourcekey=0-fc6-evJAFcDsiGEPgylANg
Luisa M. Alcott|Mujercitas|https://drive.google.com/file/d/0B_yJXv2pEPBwX1FwM2lIbThIbDA/view?usp=drivesdk&resourcekey=0-kRFxHnA0XUeWZz8WwibPwA
Luisa M. Alcott|Merienda|https://drive.google.com/file/d/0B_yJXv2pEPBwVUV5TlQxbEhucnc/view?usp=drivesdk&resourcekey=0-Dzb3L8NfIVBugNnnIcU_gg
Luisa M. Alcott|Las Mujercitas Se Casan|https://drive.google.com/file/d/0B_yJXv2pEPBwQkI1RExlNmh4ZU0/view?usp=drivesdk&resourcekey=0-9xy22aymknqOoRJaQrMmQA
Luisa M. Alcott|La Liebre Y La Tortuga|https://drive.google.com/file/d/0B_yJXv2pEPBwX1FxeHk3YlY0Rmc/view?usp=drivesdk&resourcekey=0-Z5_Z0MBFF7-HGtzmpLfJwg
Luisa M. Alcott|La Fiesta De Los Cubiertos|https://drive.google.com/file/d/0B_yJXv2pEPBwak1Tcy1rRFcwUkU/view?usp=drivesdk&resourcekey=0-uBz-PDz7PaDkKlelgV3Rww
Luisa M. Alcott|La Clase De Cocina|https://drive.google.com/file/d/0B_yJXv2pEPBwNGJtMkNOcklZdzA/view?usp=drivesdk&resourcekey=0-jcPGCZG8FK_C5BCzBJWh6Q
Luisa M. Alcott|Jack Y Jill|https://drive.google.com/file/d/0B_yJXv2pEPBwNWVXZmlnNEZqSVk/view?usp=drivesdk&resourcekey=0-WKIN64eQ6S6Ls_ncm3XQoQ
Luisa M. Alcott|Hombrecitos|https://drive.google.com/file/d/0B_yJXv2pEPBwV1dieW9CSkZ0eTA/view?usp=drivesdk&resourcekey=0-PSaeo8WXK6p2WTK_BcmtTg
Luisa M. Alcott|Excursion Accidentada|https://drive.google.com/file/d/0B_yJXv2pEPBwSjNfR2QtdVpUZFk/view?usp=drivesdk&resourcekey=0-2RxnKerXMSKNfuGc_Qi1Iw
Luisa M. Alcott|El Mantel De Tabby|https://drive.google.com/file/d/0B_yJXv2pEPBwSnI2WjR4YzRwems/view?usp=drivesdk&resourcekey=0-Ns5GNYu6GEDr3YpeSymFVQ
Luisa M. Alcott|El Buen Duende Y La Princesa|https://drive.google.com/file/d/0B_yJXv2pEPBwX3F2THNjZjEyRUU/view?usp=drivesdk&resourcekey=0-IsB_WsI7rH_r9GJ9SlRLtQ
Luisa M. Alcott|Bee! Bee!|https://drive.google.com/file/d/0B_yJXv2pEPBwcjlJOUEzazFCc3c/view?usp=drivesdk&resourcekey=0-xvaIm_aAufRM2-_UGEKwig
Luisa M. Alcott|Bajo las lilas|https://drive.google.com/file/d/0B_yJXv2pEPBwZjIzTGgzY0EwNW8/view?usp=drivesdk&resourcekey=0-RBE41H3YYkymf7urO2jVVg
Friedrich Von Hardenberg|Europa O La Cristiandad|https://drive.google.com/file/d/0B_yJXv2pEPBwWGY3QkZsaHpTWVE/view?usp=drivesdk&resourcekey=0-_KgDjEYNYJUaGgDQNdtldA
Alfred de Vigny|Servidumbre y Grandeza Militar|https://drive.google.com/file/d/0B_yJXv2pEPBwMlBqZnJNQUhaVjA/view?usp=drivesdk&resourcekey=0-BYOP1ym8cliZNfThpB4B6g
Alfred de Vigny|Antologia Poetica|https://drive.google.com/file/d/0B_yJXv2pEPBwUklEQm0ycFdkRkU/view?usp=drivesdk&resourcekey=0-KivgJ3BsAxYPEmy80XPD0w
Juan Ruiz de Alarcón y Mendoza|Todo Es Ventura|https://drive.google.com/file/d/0B_yJXv2pEPBwVzBON0xLZFNTSTg/view?usp=drivesdk&resourcekey=0-jj6pPQ1lHy1n764gBxv1Eg
Juan Ruiz de Alarcón y Mendoza|Quien Mal Anda En Mal Acaba|https://drive.google.com/file/d/0B_yJXv2pEPBwMnZDUDUydThLclk/view?usp=drivesdk&resourcekey=0-ahVDS48VGdIENH6P3UVPYA
Juan Ruiz de Alarcón y Mendoza|Quien Engaña Mas a Quien|https://drive.google.com/file/d/0B_yJXv2pEPBwREhCc183cmE3THc/view?usp=drivesdk&resourcekey=0-4xWVvAVJIIrZNFMnGp57oQ
Juan Ruiz de Alarcón y Mendoza|Mudarse Por Mejorarse|https://drive.google.com/file/d/0B_yJXv2pEPBwQjBKTmNIZkgzaHc/view?usp=drivesdk&resourcekey=0-f7quV7TEs9I47xMolqJVOw
Juan Ruiz de Alarcón y Mendoza|Los Pechos Privilegiados|https://drive.google.com/file/d/0B_yJXv2pEPBwNjdpWlkwZWJtdjA/view?usp=drivesdk&resourcekey=0-reWuO-u2zMesA0UJDZDvPQ
Juan Ruiz de Alarcón y Mendoza|Los Favores Del Mundo|https://drive.google.com/file/d/0B_yJXv2pEPBwU0Vwcm1GX3AzYmM/view?usp=drivesdk&resourcekey=0-2r7lqiaJ5JQeEB5z9whKcw
Juan Ruiz de Alarcón y Mendoza|Los Empeños De Un Engaño|https://drive.google.com/file/d/0B_yJXv2pEPBwWGRTdEpQUEhsZzQ/view?usp=drivesdk&resourcekey=0-yp2LPlMpFiK9CjNWcj8RWw
Juan Ruiz de Alarcón y Mendoza|Las Prueba De Las Promesas|https://drive.google.com/file/d/0B_yJXv2pEPBwZnRwNWJMWGNldWs/view?usp=drivesdk&resourcekey=0-U7zNWULGvEY6ypz18mzRLA
Juan Ruiz de Alarcón y Mendoza|Las Paredes Oyen|https://drive.google.com/file/d/0B_yJXv2pEPBwamNZSzRIbEx3c1U/view?usp=drivesdk&resourcekey=0-JLc98zi-guTJ8qvr_heV_Q
Juan Ruiz de Alarcón y Mendoza|La Verdad Sospechosa|https://drive.google.com/file/d/0B_yJXv2pEPBwVGxEU3d6bHBuUG8/view?usp=drivesdk&resourcekey=0-jLkSwPZxZoE5G66PFambJQ
Juan Ruiz de Alarcón y Mendoza|La Manganilla de Melilla|https://drive.google.com/file/d/0B_yJXv2pEPBwbzRBd3hPUFhNZXM/view?usp=drivesdk&resourcekey=0-mJ2gwmHNQifEtE9K4a64ZQ
Juan Ruiz de Alarcón y Mendoza|La Industria y La Suerte|https://drive.google.com/file/d/0B_yJXv2pEPBwVkFlV1IwQUtKUlE/view?usp=drivesdk&resourcekey=0-qj3m7J75WFeBL1SyxrCJdQ
Juan Ruiz de Alarcón y Mendoza|La Culpa Busca La Pena|https://drive.google.com/file/d/0B_yJXv2pEPBwWDYybkJuS2dGUzA/view?usp=drivesdk&resourcekey=0-9sljcA-EQVzDrnUvlpNwnQ
Juan Ruiz de Alarcón y Mendoza|La cueva de Salamanca|https://drive.google.com/file/d/0B_yJXv2pEPBweEpnYU1yOTh5MWc/view?usp=drivesdk&resourcekey=0-aqOr4GIVmD1Q7spowBnnZA
Juan Ruiz de Alarcón y Mendoza|La Crueldad Por El Honor|https://drive.google.com/file/d/0B_yJXv2pEPBwVUg5cDdmT1h4T1U/view?usp=drivesdk&resourcekey=0-fAOpGiLEl7bcEnP6aNLB4g
Juan Ruiz de Alarcón y Mendoza|La Amistad Castigada|https://drive.google.com/file/d/0B_yJXv2pEPBwcUM2Ti14b1EtQ1E/view?usp=drivesdk&resourcekey=0-NP-a5AV3YIQYj01_xG25Ng
Juan Ruiz de Alarcón y Mendoza|Ganar Amigos|https://drive.google.com/file/d/0B_yJXv2pEPBwWDNFcm4yc2RBbEU/view?usp=drivesdk&resourcekey=0-kUMS6d521JOseanaZCSQTg
Juan Ruiz de Alarcón y Mendoza|El Tejedor De Segovia|https://drive.google.com/file/d/0B_yJXv2pEPBwQkJ0MG9zRE5ESU0/view?usp=drivesdk&resourcekey=0-D4R6SEccwSIRZRPB0k1eeg
Juan Ruiz de Alarcón y Mendoza|El Semejante a Si Mismo|https://drive.google.com/file/d/0B_yJXv2pEPBwSElNbTN4Yi1rRkk/view?usp=drivesdk&resourcekey=0-Kx_p92Rqci9TlTzkaJHYlA
Juan Ruiz de Alarcón y Mendoza|El Examen De Maridos|https://drive.google.com/file/d/0B_yJXv2pEPBwRGNKSDI2Smtsak0/view?usp=drivesdk&resourcekey=0-xl45PlC3fSakyN_wXyAPdQ
Juan Ruiz de Alarcón y Mendoza|El Dueño De Las Estrellas|https://drive.google.com/file/d/0B_yJXv2pEPBwZloydDQ4ZktkRVE/view?usp=drivesdk&resourcekey=0-uTFcodhOTz_1k4dvLkoi3g
Juan Ruiz de Alarcón y Mendoza|El Desdichado En Fingir|https://drive.google.com/file/d/0B_yJXv2pEPBwTlBuWVlFdFNJaGM/view?usp=drivesdk&resourcekey=0-IOb5E_Z5JzFrGtT0ZzXaiA
Juan Ruiz de Alarcón y Mendoza|El Anticristo|https://drive.google.com/file/d/0B_yJXv2pEPBwLWRJMzUwdU5xdk0/view?usp=drivesdk&resourcekey=0-fnduvMjSjVM3TO6rYJNgYg
Juan Ruiz de Alarcón y Mendoza|Don Domingo de Don Blas|https://drive.google.com/file/d/0B_yJXv2pEPBwU2RSWTRWVlpSNzA/view?usp=drivesdk&resourcekey=0-_UNuo9XOxdCxE_AIQsJJqQ
Patricia Verdugo|Los Zarpazos Del Puma|https://drive.google.com/file/d/0B_yJXv2pEPBwbXkxNld4eUhpUWs/view?usp=drivesdk&resourcekey=0-YVOGiEQh4_QUk7jH3LYeyg
Josefina Vásquez Mota|Dios Mio Hazme Viuda Por Favor|https://drive.google.com/file/d/0B_yJXv2pEPBwWVhuWGlhajlicGM/view?usp=drivesdk&resourcekey=0-4YNOANZMijwQqrvJVweQBQ
Carlos D. Vásquez|Repuestos Repuestos|https://drive.google.com/file/d/0B_yJXv2pEPBwN1lPY1U5RHdQcW8/view?usp=drivesdk&resourcekey=0-G5WPvpkKl7S9DBATcvKlog
Ramón María Valle Inclan|Sonata de primavera|https://drive.google.com/file/d/0B_yJXv2pEPBwTF9oOVBZQzRYUXc/view?usp=drivesdk&resourcekey=0--M4CEIszCDkdzpGHetnr4Q
Ramón María Valle Inclan|Luces De Bohemia|https://drive.google.com/file/d/0B_yJXv2pEPBwVFQ1aXhSNXNtZHc/view?usp=drivesdk&resourcekey=0-JZ-503_Od_xygkjbIWN0GQ
Ramón María Valle Inclan|Beatriz Satanas|https://drive.google.com/file/d/0B_yJXv2pEPBwYUdyNFJyZE9UNjg/view?usp=drivesdk&resourcekey=0-wfde8E322FszrbD9_tWHcQ
Joseph Von Eichendorff|El Anillo|https://drive.google.com/file/d/0B_yJXv2pEPBwQVI4aFEzY2ZISmM/view?usp=drivesdk&resourcekey=0--ouZxQp1XT9F7T_r3geDIA
Isabel Allende|Retrato En Sepia|https://drive.google.com/file/d/0B_yJXv2pEPBwRGhpU203cWZuQUU/view?usp=drivesdk&resourcekey=0-njjc8za9JuqWjPN_VMpxSQ
Isabel Allende|Pinochet sin odio|https://drive.google.com/file/d/0B_yJXv2pEPBwa0xWVmdHLUJRYk0/view?usp=drivesdk&resourcekey=0-A507oR9UxR9yFolEShA54g
Isabel Allende|Paula|https://drive.google.com/file/d/0B_yJXv2pEPBwa3ZOczh6R3FDRmM/view?usp=drivesdk&resourcekey=0-wFfqzByskqzs9EtQIWcxmw
Isabel Allende|Mi Pais Inventado|https://drive.google.com/file/d/0B_yJXv2pEPBwOURMaTZnRWM3SWc/view?usp=drivesdk&resourcekey=0-gRfA3PeJ4QXnRIgb70dYXA
Isabel Allende|La Ciudad de las bestias|https://drive.google.com/file/d/0B_yJXv2pEPBwaXVwOURMdGdwQlk/view?usp=drivesdk&resourcekey=0-VmiHKqfIqacRTUwyo89ZwQ
Isabel Allende|La casa de los espiritus|https://drive.google.com/file/d/0B_yJXv2pEPBwTmI2T1RRQ1FNbUU/view?usp=drivesdk&resourcekey=0-GeKm4RnfAp2wotox3UTA_g
Isabel Allende|Hija de la fortuna|https://drive.google.com/file/d/0B_yJXv2pEPBwUkVNR0EydGNYeTA/view?usp=drivesdk&resourcekey=0-UCI1Ic20WR2YC3ptgEd3Qw
Isabel Allende|Eva Luna|https://drive.google.com/file/d/0B_yJXv2pEPBwOXdHczFpQVZ1elU/view?usp=drivesdk&resourcekey=0-OmFRkuyYPHi0275M3-W_4Q
Isabel Allende|El Zorro|https://drive.google.com/file/d/0B_yJXv2pEPBwR3U2Vlh1U25Valk/view?usp=drivesdk&resourcekey=0-E_s1eHmZBzWwOAOe5wkvCQ
Isabel Allende|El Sexo Y Yo|https://drive.google.com/file/d/0B_yJXv2pEPBwQ1JDc1gzVXZ2dVk/view?usp=drivesdk&resourcekey=0-BZsa4X6AqyqH6eAc68Z8qg
Isabel Allende|El Reino Del Dragon De Oro|https://drive.google.com/file/d/0B_yJXv2pEPBwWDFHWU1qV0pjckE/view?usp=drivesdk&resourcekey=0-JGII7_demuhXpVBPOtMsfg
Isabel Allende|El Plan Infinito (Parte 2)|https://drive.google.com/file/d/0B_yJXv2pEPBwTUVpRWVCak5qMk0/view?usp=drivesdk&resourcekey=0-nlvw4KRxOC7mmiQHGoC1gA
Isabel Allende|El Plan Infinito (Parte 1)|https://drive.google.com/file/d/0B_yJXv2pEPBwNXBoRnpQSi1SSVE/view?usp=drivesdk&resourcekey=0-kb-jifI-toRjHmbJBfmymA
Isabel Allende|El Hombre de Plata|https://drive.google.com/file/d/0B_yJXv2pEPBwS1NQWFhfRkR4R1k/view?usp=drivesdk&resourcekey=0-k29jupb3IX_Y7xzIh8XwPw
Isabel Allende|De Amor Y De Sombra|https://drive.google.com/file/d/0B_yJXv2pEPBwMFlNZDdVNzEzQzg/view?usp=drivesdk&resourcekey=0-S2nVskf78vMORQ8tjy0ADg
Isabel Allende|Cuentos De Eva Luna|https://drive.google.com/file/d/0B_yJXv2pEPBwdnRqMlRDRENwX28/view?usp=drivesdk&resourcekey=0-gO8ULoAyA0eir1z0I0prKw
Alberto Vanasco|Post Bombum|https://drive.google.com/file/d/0B_yJXv2pEPBwenItQnVEbks0Yms/view?usp=drivesdk&resourcekey=0-CVcc-Xxm2Oy8afe4RePdRw
Pina Antonio Velasco|Tlacaelel|https://drive.google.com/file/d/0B_yJXv2pEPBwVGxLa1FBaUFjVUE/view?usp=drivesdk&resourcekey=0-Vd6DMC2vTL5W1zf75SM8QA
Brian W. Aldiss|Un Mundo Devastado|https://drive.google.com/file/d/0B_yJXv2pEPBweV9FR3l4cW5URGc/view?usp=drivesdk&resourcekey=0-xc_BdzhLw5d2mlTyqENjwQ
Brian W. Aldiss|Un Marte Mas Blanco|https://drive.google.com/file/d/0B_yJXv2pEPBwNGViZEhFZFpUelE/view?usp=drivesdk&resourcekey=0-DjRi8uERG1P1qVYQODMrYQ
Brian W. Aldiss|Trama Estelar|https://drive.google.com/file/d/0B_yJXv2pEPBwMmo2el9DeEhhY0E/view?usp=drivesdk&resourcekey=0-7K_bAW8202m8GMIZkivgow
Brian W. Aldiss|T|https://drive.google.com/file/d/0B_yJXv2pEPBwZGh2QThNb2pnQU0/view?usp=drivesdk&resourcekey=0-kUy6i4qvWxrpaFbIzEfaaA
Brian W. Aldiss|Quien Puede Reemplazar a un Hombre|https://drive.google.com/file/d/0B_yJXv2pEPBwazE1eWkxX2czSWs/view?usp=drivesdk&resourcekey=0-jp8TtdT2rhVFJKNY6HG01Q
Brian W. Aldiss|Pobre Guerrero|https://drive.google.com/file/d/0B_yJXv2pEPBwZUFfQ2xRWWpOUUk/view?usp=drivesdk&resourcekey=0-0PTdOajk05dCvrwFxLeKUg
Brian W. Aldiss|Plenisol|https://drive.google.com/file/d/0B_yJXv2pEPBwM3BsQ3hnaUYtQWs/view?usp=drivesdk&resourcekey=0-H2HXXHWxBcxpv4yEc6GOuw
Brian W. Aldiss|Nataniel|https://drive.google.com/file/d/0B_yJXv2pEPBwTE14QlltVVlKczg/view?usp=drivesdk&resourcekey=0-85g32M_oMXPurGMkfxARng
Brian W. Aldiss|Los Superjuguetes duran todo el Verano|https://drive.google.com/file/d/0B_yJXv2pEPBwajZ0RTdkeUJfQmc/view?usp=drivesdk&resourcekey=0-7wSbkWdV5_uTMjUuEy0-gQ
Brian W. Aldiss|Los oscuros años luz|https://drive.google.com/file/d/0B_yJXv2pEPBwMVM4eXVYWHYwU3c/view?usp=drivesdk&resourcekey=0-2RJzzgO7JX-Vg4wINLBAmg
Brian W. Aldiss|Las Ultimas Ordenes|https://drive.google.com/file/d/0B_yJXv2pEPBwQWtnM1JzX1BHaGM/view?usp=drivesdk&resourcekey=0-Nv8VIZ-KUoXhymzKeHZ0Lw
Brian W. Aldiss|La Noche En Que Todo El Tiempo|https://drive.google.com/file/d/0B_yJXv2pEPBwYVU0alZCQkZxX1U/view?usp=drivesdk&resourcekey=0-Mk8pRngX4Zb17RDySpfTng
Brian W. Aldiss|La Nave Estelar|https://drive.google.com/file/d/0B_yJXv2pEPBwYzJHLW8xbkJSVlU/view?usp=drivesdk&resourcekey=0-Y2EPxuBQqxOArRTd42fPdQ
Brian W. Aldiss|La Estrella Imposible|https://drive.google.com/file/d/0B_yJXv2pEPBwenotOVlER2J3OVU/view?usp=drivesdk&resourcekey=0-ufX_J-SBV7UKT5H4kKjp_A
Brian W. Aldiss|La Boveda Del Tiempo|https://drive.google.com/file/d/0B_yJXv2pEPBwQVlZWHUyMV9XQmc/view?usp=drivesdk&resourcekey=0-Sl46DdyemIi0YvnU5OKVPg
Brian W. Aldiss|Herejias del Dios Inmenso|https://drive.google.com/file/d/0B_yJXv2pEPBwYkU1bU9GdENiTlE/view?usp=drivesdk&resourcekey=0-gEONogVYDxWvAqTeHh-p0g
Brian W. Aldiss|Helioconia Invierno|https://drive.google.com/file/d/0B_yJXv2pEPBwZF9Ra3VEMjdJdzg/view?usp=drivesdk&resourcekey=0-M-sYWRCNY1kOLU9yngIQGA
Brian W. Aldiss|Heliconia Verano|https://drive.google.com/file/d/0B_yJXv2pEPBwOS1YVHZSUVVuMDA/view?usp=drivesdk&resourcekey=0-GHFikqPypOSsRpp_eBIqwg
Brian W. Aldiss|Heliconia Primavera|https://drive.google.com/file/d/0B_yJXv2pEPBwd2w4M09Ma2w3SFE/view?usp=drivesdk&resourcekey=0-hmdb2AYx9R3QteVC0m_c3g
Brian W. Aldiss|Hacia Adelante|https://drive.google.com/file/d/0B_yJXv2pEPBwcWxMcHhuV2VuclE/view?usp=drivesdk&resourcekey=0-GYdr_TIjJ47r-nyDaSyUoQ
Brian W. Aldiss|Galaxias Como Granos De Arena|https://drive.google.com/file/d/0B_yJXv2pEPBwQ1RVS1poQnRwWm8/view?usp=drivesdk&resourcekey=0-_9MdbLzULKvmYOAEdc5Bbg
Brian W. Aldiss|Espacio Y Tiempo|https://drive.google.com/file/d/0B_yJXv2pEPBwTUU2MFZTczlacUE/view?usp=drivesdk&resourcekey=0-1VPLFI-aLxufsodRO3vPfw
Brian W. Aldiss|Epilogo|https://drive.google.com/file/d/0B_yJXv2pEPBwbVphRWEwSkNPd1U/view?usp=drivesdk&resourcekey=0-hjHscCQdFdepfrriU9MoKQ
Brian W. Aldiss|Entorno Total|https://drive.google.com/file/d/0B_yJXv2pEPBwUmNkZFpJdHF6anM/view?usp=drivesdk&resourcekey=0-11Aq7YX5smyFrCGDv87Chw
Brian W. Aldiss|Enemigos del Sistema|https://drive.google.com/file/d/0B_yJXv2pEPBwXzZjU05oZndwRFk/view?usp=drivesdk&resourcekey=0-DtSVgv1TqpSUaPCMmv--3w
Brian W. Aldiss|En la Arena|https://drive.google.com/file/d/0B_yJXv2pEPBwSk5FWG5HQVlOTmc/view?usp=drivesdk&resourcekey=0-uX5asttaNPW8e6hRT_HWRA
Brian W. Aldiss|El Suave Dilema|https://drive.google.com/file/d/0B_yJXv2pEPBwTTdyZmRZbWVMVkk/view?usp=drivesdk&resourcekey=0-JjWMMOmP_9-XLdSuMAg01Q
Brian W. Aldiss|El Hombre En Su Tiempo|https://drive.google.com/file/d/0B_yJXv2pEPBwUHAtS2FFOUg2Vjg/view?usp=drivesdk&resourcekey=0-ylCUW4tjqROL2WYdwVy1OA
Brian W. Aldiss|El Exterior|https://drive.google.com/file/d/0B_yJXv2pEPBwbWVXcEZNa0U4bDQ/view?usp=drivesdk&resourcekey=0-qSuz_hSqP5vWeKa5RzA3NQ
Brian W. Aldiss|El Arbol de Saliva|https://drive.google.com/file/d/0B_yJXv2pEPBwcTdNOVpweFRIdkU/view?usp=drivesdk&resourcekey=0-xo1ItWygXwUBlqkwOeyOww
Brian W. Aldiss|Cuando la Tierra este Muerta|https://drive.google.com/file/d/0B_yJXv2pEPBwNElKRm5MbklDRGs/view?usp=drivesdk&resourcekey=0-gppgta3b8X6sOO54O4ZE_g
Brian W. Aldiss|Criaturas Del Apogeo|https://drive.google.com/file/d/0B_yJXv2pEPBwNGlJc0FEb3RRZWM/view?usp=drivesdk&resourcekey=0-VMD7oA1tHC53FpBEWG_Z5g
Brian W. Aldiss|Como se puede reemplazar a un hombre|https://drive.google.com/file/d/0B_yJXv2pEPBwYWtGWFFmak9mcVk/view?usp=drivesdk&resourcekey=0-Z5qX_lVq_k2vDw3xqJYd_A
Brian W. Aldiss|Capullo En Flor|https://drive.google.com/file/d/0B_yJXv2pEPBwS0pVeHF3RGtkRmM/view?usp=drivesdk&resourcekey=0-0X8c_TE59M24t6GOretM6A
Brian W. Aldiss|Barbagris|https://drive.google.com/file/d/0B_yJXv2pEPBwZVN1azNYTjJ5RTg/view?usp=drivesdk&resourcekey=0-66X20HFzydcFrfwYSiOZsg
Brian W. Aldiss|Afuera|https://drive.google.com/file/d/0B_yJXv2pEPBwU25CSFd4V29GRFE/view?usp=drivesdk&resourcekey=0-eg2RbTFbDx2dM6RYyXNOlQ
Abad Vonier|La Victoria De Cristo|https://drive.google.com/file/d/0B_yJXv2pEPBwVmhWaHB0N2ZZMDA/view?usp=drivesdk&resourcekey=0-WikBe1VOlgzKmF5kwJRIkg
Álvaro Vargas Llosa|Reino Unido, El Socialismo Arrepentido|https://drive.google.com/file/d/0B_yJXv2pEPBwTVZSMW9vdkltcDA/view?usp=drivesdk&resourcekey=0-XajddVTjTJPYVlqP7UaNDA
Álvaro Vargas Llosa|Morir de a Pocos en Bihac|https://drive.google.com/file/d/0B_yJXv2pEPBwZkFHSTBGUVBPSXM/view?usp=drivesdk&resourcekey=0-5kNkfetBL_KFcN4kGo320A
Álvaro Vargas Llosa|Isaiah Berlin, el Otro Liberal|https://drive.google.com/file/d/0B_yJXv2pEPBwazk4bzRfVzQzTjg/view?usp=drivesdk&resourcekey=0-Qu8MJlX2fZlXK3TR6NNCgA
Álvaro Vargas Llosa|El Ultimo Suspiro del Moro|https://drive.google.com/file/d/0B_yJXv2pEPBwUXR0djRDYjRiejA/view?usp=drivesdk&resourcekey=0-v5uBYsxkd4WEFFqU0_bU-g
Álvaro Vargas Llosa|El Arte Mediocre Una Entrevista con Ernst Gombrich|https://drive.google.com/file/d/0B_yJXv2pEPBwTURpLUlyN0ZvWHM/view?usp=drivesdk&resourcekey=0-6u3YDOnVvgIogvNfgxbVZA
Gore Vida|Mesias|https://drive.google.com/file/d/0B_yJXv2pEPBwTm5XbmFwTE5PX0U/view?usp=drivesdk&resourcekey=0-Xv8LCT0Ovr67Q-01RvUs7w
Fernando Vega|Agustin Varilla|https://drive.google.com/file/d/0B_yJXv2pEPBwUUw5dW5xRmRocFE/view?usp=drivesdk&resourcekey=0-6Z_7YiezJjZ6NN7yGla2Wg
Fernando Vega|Domini Canes (Los Perros del Señor)|https://drive.google.com/file/d/0B_yJXv2pEPBwdVlXQ1hEUlZlTWM/view?usp=drivesdk&resourcekey=0-KE6JdT_cSinnDglnzj9dZg
Douglas Adams|Zaphod un trabajo seguro|https://drive.google.com/file/d/0B_yJXv2pEPBwUldBalJ4Ri0ta0U/view?usp=drivesdk&resourcekey=0-_V4V8Sf55iiITU5QWHBOgg
Douglas Adams|La Vida En El Universo Y Todo Lo Demas|https://drive.google.com/file/d/0B_yJXv2pEPBwOUZMa040Tm85ZVE/view?usp=drivesdk&resourcekey=0-0kfb29QKgAJtDzjGx7l8fw
Douglas Adams|Informe Sobre la Tierra|https://drive.google.com/file/d/0B_yJXv2pEPBwTHE2SjRCVzZfUTQ/view?usp=drivesdk&resourcekey=0-UmlNoY10CUrEPR4qe6VSIg
Douglas Adams|Hasta Luego y Gracias por el Pescado|https://drive.google.com/file/d/0B_yJXv2pEPBwaHdKcGRjT2t2ams/view?usp=drivesdk&resourcekey=0-JD0T7EA0DD0S-nJcpan0_g
Douglas Adams|Guia del Autoestopista Galactico|https://drive.google.com/file/d/0B_yJXv2pEPBwNy1uMkFOV25HM00/view?usp=drivesdk&resourcekey=0-echMK_HCsOzAMgWbwhWi9w
Douglas Adams|Fundamentalmente Inofensiva|https://drive.google.com/file/d/0B_yJXv2pEPBwQlJCcmNvZzFVWHc/view?usp=drivesdk&resourcekey=0-yG8YYj0AD4ZLUkVjZQVjYg
Douglas Adams|El Restaurante del Fin del Mundo|https://drive.google.com/file/d/0B_yJXv2pEPBwOFN3c2RrbUJJWkk/view?usp=drivesdk&resourcekey=0-5kMGrftTZqs_QH_fiy58eg
Douglas Adams|El Joven Zaphod Y Un Trabajo Seguro|https://drive.google.com/file/d/0B_yJXv2pEPBwMldjZ1NEVTRJdG8/view?usp=drivesdk&resourcekey=0-rrqkQdv3n3KOBh8aWC5omw
Douglas Adams|El Don De Volar|https://drive.google.com/file/d/0B_yJXv2pEPBwaHVvTTE5ampKbU0/view?usp=drivesdk&resourcekey=0-AA6MGioTq4bo9phIwYg7Pg
Douglas Adams|Dirk Gently, Agencia De Investigaciones Holisticas|https://drive.google.com/file/d/0B_yJXv2pEPBwTEJHZ1NDUEk5MGc/view?usp=drivesdk&resourcekey=0-eVeWa9ZvqYDqQd9AfSPUgA
Douglas Adams|Dirk Gently Agencia Investigaciones Holisticas|https://drive.google.com/file/d/0B_yJXv2pEPBwUGt2aFU2MTBVY0k/view?usp=drivesdk&resourcekey=0-4DfZDJEPqGv2GslbvwiFsA
Alexander Von Homboldt|Hacia el valle de Caracas|https://drive.google.com/file/d/0B_yJXv2pEPBwNS1Ob2ZhUHFRMUU/view?usp=drivesdk&resourcekey=0-tbBEBQG9hhuMfsJ0Dadb8w
Alexander Von Homboldt|En el paso del Quindio|https://drive.google.com/file/d/0B_yJXv2pEPBwV1RQd0h5bjNRTm8/view?usp=drivesdk&resourcekey=0-irStkZTxgit6krtXntJZGw
Alexander Von Homboldt|De Cajamarca al Pacifico|https://drive.google.com/file/d/0B_yJXv2pEPBwQ3dVLUZHUE0tUlE/view?usp=drivesdk&resourcekey=0-A4J5np1OgArEcGjMb19xnQ
Alexander Von Homboldt|Acerca de la esclavitud|https://drive.google.com/file/d/0B_yJXv2pEPBwdjlFcXNUdGtlcG8/view?usp=drivesdk&resourcekey=0-kt-JsCMmBhuTn0Rb5Vyd_Q
